Romania,EURO,23/12/2023,1.61E+07,8188137.0,83,42,8142363.0,42,27/01/2021,1770001.0,9
Rwanda,AFRO,31/12/2023,2.73E+07,1.09E7,211,84,1.04E7,80,05/03/2021,5879013.0,45
Senegal,AFRO,31/12/2023,3182308,2684696.0,19,16,1548665.0,9,23/02/2021,724754.0,4
Sierra Leone,AFRO,31/12/2023,9155936,5676123.0,115,71,4961886.0,62,15/03/2021,1201709.0,15
El Salvador,AMRO,29/12/2023,1.15E+07,4659970.0,177,72,4397817.0,68,17/02/2021,1908547.0,29
San Marino,EURO,23/12/2023,69338,26357.0,204,78,23633.0,70,24/02/2021,19348.0,57
South Sudan,AFRO,31/12/2023,4365547,4315127.0,39,39,4273253.0,38,06/04/2021,513122.0,5
Sao Tome and Principe,AFRO,31/12/2023,263863,140256.0,120,64,111986.0,51,15/03/2021,34624.0,16
Suriname,AMRO,29/12/2023,554588,267820.0,95,46,237879.0,41,23/02/2021,48889.0,8
Slovakia,EURO,23/12/2023,7222380,2840017.0,132,52,2791711.0,51,23/12/2020,1686458.0,31
Slovenia,EURO,23/12/2023,3028400,1252307.0,144,60,1187384.0,57,23/12/2020,681485.0,33
Sweden,EURO,23/12/2023,2.32E+07,7563941.0,225,73,7403549.0,72,23/12/2020,5542831.0,54
Eswatini,AFRO,31/12/2023,870205,526050.0,75,45,427335.0,37,19/03/2021,179450.0,15
Seychelles,AFRO,31/12/2023,224558,88520.0,228,90,83565.0,85,10/01/2021,44936.0,46
Turks and Caicos Islands,AMRO,29/12/2023,73907,32815.0,191,85,30710.0,79,11/01/2021,7443.0,19
Chad,AFRO,31/12/2023,9151765,5147667.0,56,31,5020360.0,31,04/06/2021,4042573.0,25
Togo,AFRO,31/12/2023,3423181,2255579.0,41,27,1554066.0,19,10/03/2021,427804.0,5
Tajikistan,EURO,23/12/2023,2.06E+07,5328277.0,216,56,5191919.0,54,24/03/2021,5322496.0,56
Turkmenistan,EURO,23/12/2023,1.68E+07,4614869.0,278,77,4568901.0,76,24/02/2021,3816400.0,63
Trinidad and Tobago,AMRO,29/12/2023,1592148,754399.0,114,54,718969.0,51,17/02/2021,174836.0,12
Tunisia,EMRO,31/12/2023,1.66E+07,8896848.0,140,75,6401705.0,54,13/03/2021,1258577.0,11
Uganda,AFRO,31/12/2023,2.64E+07,2.0E7,58,44,1.31E7,29,10/03/2021,764664.0,2
Ukraine,EURO,23/12/2023,3.57E+07,1.63E7,82,37,1.57E7,36,24/02/2021,3294979.0,8
Uruguay,AMRO,29/12/2023,9037498,3010464.0,260,87,2903186.0,84,27/02/2021,2080961.0,60
United States of America,AMRO,29/12/2023,7.12E+08,2.7E8,215,82,2.31E8,70,14/12/2020,1.18E8,36
Uzbekistan,EURO,23/12/2023,8.39E+07,2.21E7,251,66,1.85E7,55,28/04/2021,1.64E7,49
Saint Vincent and the Grenadines,AMRO,29/12/2023,73443,37532.0,66,34,31632.0,29,01/02/2021,4279.0,4
Venezuela (Bolivarian Republic of),AMRO,29/12/2023,3.79E+07,2.22E7,133,78,1.43E7,50,22/02/2021,651502.0,2
British Virgin Islands,AMRO,29/12/2023,41453,19466.0,137,64,18261.0,60,11/02/2021,3726.0,12
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,23/12/2023,1836901,904558.0,102,50,824752.0,46,31/03/2021,105624.0,6
South Africa,AFRO,31/12/2023,4.18E+07,2.42E7,70,41,2.1E7,35,17/02/2021,4410601.0,7
